dbn,grade_7_enrollment,num_shsat_test_takers,offers_per_student,pct_test_takers,high_registrations
20K187,266,251,75,91,1
21K239,422,336,46,78,1
03M054,295,257,53,91,1
15K051,379,280,33,75,1
02M312,177,163,62,90,1
21K098,499,372,21,75,1
20K201,508,338,19,64,1
26Q074,369,233,23,55,1
26Q216,470,304,19,62,1
25Q185,494,250,17,46,1
01M539,149,126,67,44,1
20K259,630,309,15,53,1
26Q158,351,236,22,61,1
26Q067,279,211,27,68,1
22K234,650,370,12,54,1
02M167,457,258,18,60,1
02M114,150,124,49,81,1
24Q073,687,394,10,51,1
02M255,128,108,55,84,1
30Q580,63,94,52,36,0
24Q119,187,104,27,47,1
03M334,64,75,76,98,1
25Q194,416,147,14,37,0
28Q190,344,172,15,49,1
25Q237,508,194,12,45,1
02M104,378,260,14,67,1
28Q157,528,249,10,43,1
15K447,176,134,29,75,1
30Q122,94,74,65,98,1
20K686,58,80,54,94,1
31R075,463,153,11,35,0
24Q005,614,264,6,41,1
20K180,159,113,22,64,1
24Q125,567,272,6,50,1
26Q172,331,189,10,55,1
21K281,492,171,7,42,1
25Q025,346,147,9,44,1
10X118,379,270,7,64,1
04M012,86,54,48,96,1
27Q323,231,104,12,24,0
20K220,473,181,5,34,0
30Q227,472,206,6,44,1
14K318,371,222,6,47,1
30Q300,68,39,63,95,1
31R072,448,139,6,30,0
30Q230,439,157,6,36,0
30Q141,380,170,7,48,1
20K227,496,197,5,42,1
28Q217,533,175,4,31,0
05M362,99,42,24,20,0
28Q680,95,61,28,32,0
01M184,83,67,26,77,1
27Q137,617,179,4,27,0
02M276,92,56,26,66,1
31R007,370,129,6,32,0
25Q294,99,69,15,50,1
27Q210,643,169,3,26,0
25Q281,100,70,19,35,0
20K229,115,93,16,72,1
15K088,466,163,5,39,1
30Q126,240,59,11,32,0
03M245,134,70,14,53,1
15K443,191,94,10,50,1
20K223,341,142,6,43,1
02M126,111,66,16,58,1
27Q202,350,98,5,26,0
02M260,99,36,18,16,0
24Q102,143,67,12,46,1
25Q189,248,97,7,39,1
21K228,417,160,4,38,0
02M413,105,46,15,21,0
10X141,249,75,6,15,0
03M243,57,38,25,66,1
24Q049,142,43,11,32,0
01M839,122,66,11,52,1
31R027,325,77,4,23,0
25Q499,54,40,25,75,1
11X083,220,77,6,33,0
03M862,116,64,10,52,1
30Q291,159,65,8,45,1
20K104,158,87,6,51,1
31R024,460,132,3,34,0
02M397,58,36,18,65,1
06M278,69,24,14,36,0
28Q896,79,29,12,17,0
24Q128,103,46,8,39,1
22K206,126,51,8,43,1
31R048,97,70,8,59,1
19K292,200,81,4,39,1
21K096,276,114,3,43,1
29Q109,353,117,3,33,0
11X127,289,133,3,46,1
02M407,68,21,11,14,0
84K707,108,24,7,10,0
26Q266,65,33,10,42,1
13K008,97,42,13,65,1
11X194,167,64,5,39,1
02M896,124,70,6,54,1
31R034,348,81,2,21,0
11X181,295,124,3,42,1
25Q219,83,29,9,38,0
15K839,112,36,7,34,0
20K163,90,39,8,43,1
84K758,102,43,7,43,1
21K226,105,44,7,44,1
84K362,48,46,14,90,1
02M131,165,54,5,38,0
08X101,176,66,5,44,1
31R063,148,70,4,44,1
18K235,92,89,8,97,1
14K577,175,90,4,53,1
22K278,428,98,2,33,0
30Q145,582,137,1,23,0
03M291,102,31,5,23,0
15K497,109,32,6,18,0
84X494,54,36,9,54,1
25Q164,88,38,7,43,1
20K030,125,51,5,41,1
84Q298,131,58,5,49,1
31R051,461,101,1,23,0
01M188,55,0,0,0,0
02M225,25,0,0,0,0
02M655,22,0,0,0,0
03M076,57,0,0,0,0
03M149,32,0,0,0,0
03M250,60,0,0,0,0
03M860,19,0,0,0,0
04M007,43,0,0,0,0
04M096,55,0,0,0,0
04M372,63,0,0,0,0
04M406,38,0,0,0,0
05M123,58,0,0,0,0
06M349,38,0,0,0,0
06M528,53,0,0,0,0
07X151,86,0,0,0,0
07X224,130,0,0,0,0
07X500,59,0,0,0,0
07X551,87,0,0,0,0
08X269,99,0,0,0,0
08X301,89,0,0,0,0
08X424,99,0,0,0,0
09X117,178,0,0,0,0
09X229,79,0,0,0,0
10X342,46,0,0,0,0
12X098,86,0,0,0,0
12X212,64,0,0,0,0
12X267,79,0,0,0,0
12X286,94,0,0,0,0
13K265,33,0,0,0,0
14K071,66,0,0,0,0
14K582,80,0,0,0,0
14K614,54,0,0,0,0
17K531,22,0,0,0,0
23K041,62,0,0,0,0
23K178,39,0,0,0,0
23K184,49,0,0,0,0
23K697,21,0,0,0,0
27Q042,66,0,0,0,0
27Q047,10,0,0,0,0
27Q114,43,0,0,0,0
27Q318,76,0,0,0,0
29Q327,82,0,0,0,0
75K140,36,0,0,0,0
75K369,68,0,0,0,0
75M094,42,0,0,0,0
